altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A
2616	10	277	65	395	198	226	168	1687	1
2657	7	134	5	631	207	246	176	1493	1
2949	14	295	10	4592	216	212	129	3416	1
2653	2	190	1	819	219	240	157	1682	1
3113	9	499	7	3458	202	226	163	4579	1
2982	14	402	63	4866	179	240	201	1800	1
2908	5	150	4	3676	223	229	142	1698	1
2801	15	170	44	2904	244	224	105	2090	1
2684	23	67	30	2054	157	206	184	2652	1
2933	10	591	26	5590	194	242	187	2123	1
2962	12	551	42	5331	188	232	184	1926	1
2760	15	201	19	1487	219	207	119	2751	1
3113	18	85	7	3629	248	221	93	4168	1
2955	12	691	35	5467	192	227	175	1933	1
2762	8	108	16	1537	234	232	129	2753	1
2740	19	175	52	2594	197	198	133	2148	1
2691	11	272	5	1053	225	216	124	1956	1
2602	13	30	1	391	234	213	110	1282	1
2940	10	30	3	4592	205	222	154	1273	1
3147	10	42	5	3308	236	225	119	4282	1
2985	20	685	69	5597	169	209	177	1767	1
2778	14	30	9	1842	233	211	106	2822	1
2939	14	180	26	4819	226	210	116	2632	1
2663	7	240	34	685	219	225	142	1312	1
2840	11	243	54	2164	199	223	162	2455	1
2784	12	234	49	1436	187	242	194	2355	1
2748	12	60	16	3636	195	220	164	1256	1
3126	10	616	13	3806	194	232	178	3493	1
2790	21	67	24	3931	245	199	72	999	1
3142	6	532	10	3560	226	227	136	3713	1
3037	19	108	19	4370	238	199	85	2758	1
2952	13	192	36	5221	195	251	193	1706	1
2998	14	242	28	4819	236	240	131	685	1
3014	18	481	111	5451	175	216	180	1329	1
2634	4	342	24	300	217	231	152	1812	1
2952	20	335	31	4670	231	244	135	459	1
2704	18	30	7	1348	234	201	93	2241	1
2890	24	150	61	4061	150	238	224	765	1
3049	7	371	80	5408	230	239	142	893	1
2951	14	0	0	5045	243	228	111	499	1
2886	1	467	50	2558	216	236	157	2460	1
2982	16	400	89	5286	180	248	205	1050	1
2883	9	342	47	2591	229	222	126	2496	1
2887	7	0	0	3331	215	225	147	1521	1
3070	10	67	16	3630	235	222	118	2861	1
2942	11	90	-1	4336	216	215	134	2003	1
2743	12	30	8	1597	240	222	110	2084	1
2938	4	391	51	3247	226	235	144	1836	1
2876	7	256	40	2480	224	225	136	2631	1
2975	13	295	30	4469	233	214	110	1806	1
2985	18	182	53	4325	247	214	89	1935	1
2776	13	30	9	2372	185	240	195	2772	1
2900	8	0	0	4702	234	235	132	1557	1
2970	10	128	14	4147	238	230	121	888	1
2981	8	234	46	3823	216	222	142	1396	1
2984	6	391	61	3715	229	237	141	1529	1
2710	8	408	85	1261	230	226	129	591	1
2827	9	175	42	1956	195	233	178	1961	1
3067	9	247	43	3464	236	231	126	2799	1
2962	3	0	0	4017	211	237	165	2242	1
2989	24	270	120	5428	220	183	86	1128	1
2775	10	564	17	1461	236	226	121	967	1
2615	19	201	-3	1159	228	197	95	170	1
3006	1	283	43	4057	221	236	151	1269	1
2891	12	351	38	2865	233	217	114	2605	1
2702	10	270	78	1440	237	224	118	424	1
2777	12	551	14	1566	236	218	112	1020	1
3083	10	499	43	5136	191	234	182	666	1
3121	9	408	75	5060	206	222	154	726	1
2933	20	90	34	5625	172	250	212	1019	1
2964	17	180	65	5559	175	246	208	960	1
3067	13	0	0	3255	241	221	108	3007	1
2857	8	170	41	2376	200	231	170	2195	1
2643	17	420	-2	962	230	202	99	335	1
3132	9	108	23	2992	235	236	132	3266	1
2711	21	201	24	1622	232	191	81	402	1
3051	9	228	46	4482	222	220	132	1006	1
2958	26	210	45	5166	168	252	212	1557	1
2991	15	162	28	4064	202	209	142	1034	1
2844	8	376	60	2054	235	232	129	1500	1
2886	15	95	22	3042	242	214	98	2581	1
2873	7	30	5	2971	209	227	156	2666	1
2823	5	0	0	2717	223	228	141	2486	1
2999	6	42	-2	3869	208	231	162	1260	1
2888	5	351	63	2601	226	229	139	2190	1
2750	11	127	16	1712	224	217	125	691	1
3123	11	240	31	2925	200	221	160	3401	1
3083	18	446	13	3395	201	199	130	2996	1
3016	3	1	0	4119	213	235	160	1050	1
3027	13	256	22	4540	238	217	108	551	1
3188	15	600	-1	3281	191	216	163	3280	1
2869	10	247	23	3174	228	220	125	2592	1
2710	11	134	-13	1473	207	219	149	1057	1
2972	7	180	27	3970	230	238	141	1950	1
3158	6	433	51	5399	224	243	153	424	1
3040	3	600	56	4326	220	233	149	1531	1
2730	5	404	-26	1507	219	229	147	1418	1
3169	5	390	33	5581	209	232	161	516	1
3074	6	180	35	4858	205	233	167	920	1
2955	6	30	1	5285	213	229	153	2394	1
2905	1	255	52	3324	218	240	159	2574	1
2808	17	30	6	2568	245	230	108	1968	1
2735	5	484	65	1354	226	229	138	1560	1
2887	12	190	37	2913	238	234	124	2376	1
2831	16	60	12	2526	186	213	166	2107	1
2971	5	180	9	5723	217	229	150	2040	1
2994	8	192	27	4482	230	241	144	1964	1
3017	20	323	39	5950	166	245	215	1816	1
2961	13	60	9	4212	237	239	129	2239	1
3092	4	285	8	5143	224	231	143	1249	1
2978	10	134	24	4403	236	234	128	2051	1
2975	8	95	-4	5287	197	241	183	2553	1
3139	10	335	43	5671	212	219	144	987	1
3124	12	235	28	5612	238	220	111	1033	1
2961	20	175	39	3586	249	219	89	2866	1
3038	19	300	65	4790	231	197	91	1765	1
2996	14	210	54	3944	219	208	122	2525	1
3051	27	324	42	4813	200	170	92	1758	1
2969	5	300	102	2856	210	233	162	2461	1
2971	4	300	99	2848	214	243	168	2431	1
2865	7	0	0	1840	223	224	136	2431	1
2774	5	283	-7	1019	226	230	139	2550	1
3225	7	693	81	6319	207	229	161	1392	1
2916	5	30	2	3242	224	242	152	2374	1
3011	0	0	0	5055	218	237	156	2621	1
3088	12	277	32	5042	233	215	112	1842	1
3239	8	825	173	6319	198	242	184	1566	1
2949	9	150	31	3424	237	232	126	2321	1
3069	7	162	24	5594	206	245	178	2089	1
2974	11	192	0	3553	227	216	120	2239	1
2890	8	175	11	1307	212	223	148	2084	1
2738	8	300	21	391	229	223	127	2698	1
2977	10	30	6	3335	202	224	160	2028	1
2894	8	108	5	1421	212	223	148	1999	1
2882	15	258	3	1239	244	221	103	2064	1
3035	12	85	11	3990	195	222	166	2333	1
2969	1	30	0	2431	221	238	153	1652	1
3012	12	85	10	3360	200	218	155	1890	1
2984	8	90	5	2700	217	222	141	1630	1
3197	13	604	47	4307	204	214	145	3327	1
3050	6	297	30	3810	216	227	149	2122	1
3218	12	674	69	4221	205	216	148	3407	1
3130	13	277	54	5694	190	247	195	2503	1
3157	8	268	33	4622	202	231	168	2483	1
3092	5	61	16	4536	208	235	167	3212	1
3170	7	342	47	4574	219	224	141	2391	1
3153	8	95	11	4845	198	233	174	2631	1
3032	3	212	24	2431	220	232	149	930	1
3034	5	270	26	2420	219	228	145	871	1
3098	16	108	24	5273	216	203	118	2951	1
3170	6	201	24	4804	202	238	175	2533	1
3114	6	67	5	4507	203	235	171	3349	1
3106	13	90	22	5287	228	211	113	3021	1
3101	12	95	17	3524	227	213	117	1224	1
2924	6	362	89	934	209	230	159	2032	1
2961	7	30	3	2321	232	232	133	604	1
3131	5	310	47	3730	217	230	149	1332	1
3108	5	247	22	3445	224	229	140	993	1
3099	8	283	13	3360	232	228	129	912	1
3203	18	306	79	4121	229	199	96	3746	1
3148	11	134	17	4280	232	218	118	3654	1
3201	7	497	81	6034	209	246	175	3123	1
2967	8	0	0	2524	229	224	128	362	1
3233	14	270	79	4636	182	241	198	3345	1
3217	23	470	111	4916	233	187	74	3074	1
3093	15	150	-8	3868	244	228	110	1200	1
3011	16	313	38	2605	189	213	162	242	1
3177	16	90	7	4228	218	203	115	3257	1
3057	11	351	10	3097	206	218	150	285	1
3217	15	419	101	5060	231	208	105	2745	1
3086	4	42	0	3905	220	231	147	1121	1
3018	10	127	25	2636	237	234	127	541	1
3240	6	659	61	4752	218	246	163	2663	1
3155	7	180	-14	4889	223	226	139	2165	1
3085	14	424	41	3486	225	208	114	679	1
3202	7	248	21	5688	224	225	136	2346	1
3128	16	242	36	3928	193	211	154	1099	1
3006	9	268	44	1604	236	230	125	1879	1
2972	13	124	23	1442	241	221	107	2045	1
3168	8	382	106	3903	228	224	130	876	1
3187	2	467	10	5206	219	235	152	2289	1
3018	8	150	0	1695	233	228	128	1790	1
3125	22	277	63	3864	251	216	81	767	1
3185	3	30	2	5193	217	233	154	1914	1
3222	5	30	1	4558	226	238	147	1907	1
3070	10	31	6	3824	196	228	171	408	1
2966	13	42	6	1482	239	219	109	2072	1
3242	8	335	147	4984	213	225	149	1770	1
3158	14	134	0	4702	230	209	109	1410	1
3250	4	450	155	5117	219	233	150	1890	1
3114	16	201	50	4025	229	206	105	543	1
3258	28	277	88	5349	217	166	65	1470	1
3043	6	120	14	1939	210	230	158	1652	1
3001	18	175	42	1398	176	214	176	2253	1
3027	6	30	3	3379	203	235	171	212	1
3093	18	268	69	2837	171	220	189	735	1
3259	12	180	101	4903	236	217	110	1541	1
3067	20	85	2	3045	166	218	191	541	1
3007	10	371	55	1221	219	218	134	2352	1
3077	12	201	1	2175	226	214	120	1495	1
3060	15	212	1	2039	180	229	190	1642	1
3070	9	85	8	3226	204	226	161	469	1
3051	13	297	62	1489	218	211	126	2271	1
3039	4	0	0	3690	223	231	144	351	1
3067	13	268	-8	2160	228	213	116	1572	1
3264	14	247	38	4424	224	209	116	1434	1
3331	16	331	61	3664	197	208	147	1989	1
3286	10	301	91	5001	195	245	188	1142	1
3060	12	108	20	3548	185	237	192	518	1
2934	15	240	-9	485	226	207	111	1697	1
3271	9	371	45	5594	199	246	186	1456	1
3213	2	216	-9	6066	215	240	163	1290	1
3163	3	283	32	3074	218	233	153	933	1
3254	15	408	41	5610	242	233	116	1338	1
3092	19	85	23	4299	163	225	200	957	1
3146	6	300	46	2536	217	226	145	1590	1
3369	15	42	6	3980	200	209	144	1410	1
3179	27	277	109	4284	136	214	213	1075	1
3168	11	361	-44	3301	191	245	193	1142	1
3133	31	95	33	3877	228	161	44	1081	1
3209	5	60	6	5730	222	243	156	979	1
3218	4	95	6	6024	219	230	148	853	1
2932	24	272	2	589	233	184	71	2134	1
3093	14	323	9	1865	201	211	147	2631	1
3206	2	124	12	5348	215	238	162	1140	1
3247	19	30	7	5132	222	196	102	212	1
3184	15	85	2	5282	238	238	125	1142	1
3197	10	180	-20	3503	197	245	187	1616	1
3202	9	108	-17	2871	216	220	140	2021	1
3232	5	30	0	6067	229	236	140	424	1
3251	9	153	33	3462	194	235	180	1889	1
3276	7	124	13	6406	216	225	146	30	1
2588	21	30	7	711	199	191	122	1561	0
3271	9	67	10	6363	233	230	130	67	1
3179	12	277	31	1980	229	215	118	3085	1
2617	10	60	2	895	211	218	144	1648	0
3197	7	90	10	2223	206	229	161	2991	1
2702	27	191	36	1230	160	186	157	1861	0
3240	13	67	17	3994	185	230	185	1324	1
3009	7	60	-2	751	223	224	136	2213	1
3042	7	127	11	1167	221	225	139	2335	1
3303	3	134	43	6099	224	234	146	601	1
3323	20	484	67	5125	209	194	114	351	1
3104	14	0	0	1865	240	216	104	2462	1
2794	24	241	84	1130	150	213	198	2424	0
2880	13	90	20	1595	202	213	147	2754	0
3265	6	150	27	3454	222	227	139	1892	1
2899	22	548	132	626	238	191	74	1524	1
2888	38	765	512	845	92	206	240	2512	0
3078	5	255	14	1342	229	234	139	1608	1
2438	14	170	19	612	196	214	156	1410	0
3295	15	0	0	2898	231	208	106	2440	1
2913	12	418	134	782	236	219	112	1151	1
3299	13	0	0	2871	230	212	113	2451	1
3005	13	534	95	1566	183	231	187	2296	0
2733	36	228	151	1256	253	175	16	886	0
3289	27	42	21	4039	253	210	67	1053	1
3080	12	339	10	1538	240	230	118	1465	1
2868	22	285	86	1652	189	189	131	1757	0
2556	19	30	8	1155	247	227	101	680	0
2579	33	162	52	690	210	150	51	787	0
2810	17	90	31	577	240	207	91	870	1
2841	13	153	45	677	232	215	112	815	1
2866	6	1	0	1442	220	226	143	2601	0
2769	18	309	75	1195	221	199	107	1092	0
2683	36	424	190	981	114	234	242	1650	0
3084	11	365	-97	1771	234	221	118	1316	1
3102	17	301	-79	1744	237	206	95	1359	1
2716	31	366	192	1132	126	234	238	1503	0
2732	23	216	93	1577	207	184	103	1211	0
2913	17	390	156	1570	195	255	191	1583	0
3056	5	633	-125	1574	223	229	142	1008	1
3162	15	108	-19	1630	243	217	99	1543	1
2929	6	256	8	1968	215	246	167	1806	0
2957	8	382	11	1972	212	248	173	2110	0
2720	19	90	0	1194	193	200	141	1860	0
3108	10	277	-65	1478	230	221	123	1312	1
2795	9	285	88	1398	209	223	152	806	0
2762	24	210	107	1442	150	211	197	1339	0
2871	18	150	58	840	231	200	96	2042	0
2599	30	60	29	1253	125	227	235	1084	0
3136	12	300	-37	1266	206	215	146	1260	1
2814	26	85	37	1207	252	214	72	1723	0
3157	4	420	-16	1200	226	239	150	1140	1
2957	24	395	129	1095	250	219	84	511	1
2956	15	594	-4	932	221	206	117	636	0
2951	15	618	-32	875	220	207	118	573	0
2795	15	175	38	914	208	206	132	631	0
3214	17	503	60	1208	247	215	91	2231	1
2819	18	30	-5	967	211	199	119	1503	0
2918	13	176	27	525	188	223	174	1570	0
2927	14	150	14	450	219	207	121	1505	0
2984	6	60	6	1410	220	245	160	1812	0
2909	25	175	65	782	164	190	158	1465	0
3034	12	342	1	601	202	219	153	698	0
2809	12	0	0	1358	187	236	190	1766	0
3021	11	85	7	642	227	246	151	1758	1
3290	30	108	51	2448	252	184	38	3010	1
2955	14	190	41	1691	180	231	191	1332	0
2970	30	150	0	484	245	219	80	1667	1
2900	12	297	85	2334	192	226	174	589	0
2907	12	153	33	1048	200	221	160	2042	0
3373	31	484	250	3137	170	251	201	2974	1
3234	29	180	31	2454	229	236	118	3181	1
3270	11	297	48	3810	212	250	173	2588	1
3127	29	633	246	1073	248	218	77	2802	1
2892	15	677	8	1232	177	226	188	1206	0
2709	13	30	3	2143	197	252	191	240	0
2982	9	313	120	722	199	233	174	1707	0
3111	23	85	-17	2173	212	251	161	3522	1
3223	11	124	11	3786	217	249	165	2814	1
3017	16	42	4	228	201	208	142	1572	0
3203	20	175	28	3214	217	250	158	3196	1
3090	12	124	7	2614	222	248	157	3457	1
2866	22	420	-16	1288	156	233	215	1484	0
2955	16	404	144	1618	172	238	205	1243	0
2881	9	30	0	511	235	236	133	2442	1
3064	8	120	0	2430	227	243	150	3653	1
3062	7	150	13	2460	230	240	143	3672	1
3144	9	85	0	2881	231	223	124	3593	1
2901	18	283	79	300	175	216	181	1368	1
2898	11	60	10	582	203	221	157	2520	1
2931	15	176	20	1561	214	252	169	1370	0
3003	21	424	171	430	158	227	208	1115	1
3034	12	85	-9	2290	230	244	145	3899	1
2874	10	0	0	1198	236	226	121	648	0
2854	20	60	20	1800	177	252	209	1256	0
2993	13	175	19	1637	226	247	151	3572	1
2910	4	30	1	1140	225	232	143	3042	1
2942	13	216	27	1452	196	219	162	703	0
2872	6	30	1	1691	231	233	136	1126	0
2919	4	30	3	1263	226	232	141	3152	1
2958	5	319	59	1575	227	233	140	787	0
2965	14	255	47	1231	190	218	166	3031	1
2930	14	424	30	2750	180	230	190	1383	0
3083	22	301	113	1919	211	185	101	3805	1
2961	4	175	-7	1187	223	232	145	726	0
3139	21	150	35	1181	190	194	136	2754	1
2935	2	60	0	1790	221	234	150	300	0
3029	30	153	54	1926	236	169	43	3738	1
3011	3	596	123	2576	220	233	150	1741	0
3101	19	497	-1	1507	163	228	204	3118	1
3005	21	95	29	1996	241	195	74	3615	1
3273	11	450	49	1260	239	227	118	2282	1
2878	21	240	73	270	247	203	75	1296	1
3049	24	421	-54	663	249	195	60	1693	1
2950	3	85	2	2053	213	240	166	351	0
2977	22	192	62	2737	159	215	194	335	0
2954	16	247	56	2304	246	226	103	1969	0
2901	22	0	0	2644	154	237	220	212	0
2956	7	0	0	1026	231	229	131	182	0
2956	19	42	16	1842	246	229	104	175	0
3114	16	277	62	335	223	249	153	553	0
3117	15	42	-2	2326	178	234	196	3007	1
2960	17	0	0	485	232	202	97	1731	1
3300	26	295	102	1727	254	201	57	2922	1
3097	19	216	82	607	247	227	100	1126	0
2926	4	85	0	2372	210	235	163	379	0
3001	4	309	23	2906	209	236	165	680	0
3360	15	216	67	2379	186	219	173	2620	1
2953	7	60	7	1869	219	226	142	2547	0
2918	14	248	80	904	241	235	120	2048	0
3376	6	426	150	3941	223	227	140	2724	1
2933	24	296	133	309	239	187	67	1385	1
3013	13	180	-7	1159	235	214	108	767	0
2876	14	765	145	175	197	213	153	1340	0
2918	27	270	123	285	236	177	55	1310	1
3022	14	124	0	1120	243	218	102	805	0
3039	9	380	70	2248	224	221	131	2240	0
3328	29	382	150	3908	252	186	41	2550	1
3293	16	180	11	1840	227	203	105	2670	1
3046	9	127	19	3000	196	241	184	1040	0
3058	8	313	64	2618	197	236	180	1945	0
2835	14	297	84	672	240	235	121	2818	0
3027	15	42	9	2910	181	245	202	1020	0
2868	6	0	0	1140	231	235	137	1976	0
3387	15	404	105	2235	240	214	100	2430	1
3081	5	61	9	3700	228	238	144	2250	1
3521	23	268	87	2723	177	190	145	2274	1
3019	26	454	217	459	225	175	67	1418	1
3357	8	362	75	2120	233	230	129	2431	1
3072	27	577	272	583	220	175	76	1535	1
3058	7	495	69	2491	232	229	129	2160	0
3033	9	175	12	1320	235	235	131	1195	0
2789	17	108	33	636	237	239	125	2864	0
2848	14	30	0	1371	244	223	105	2432	0
2667	7	228	23	255	222	227	141	743	0
2795	8	30	0	1328	221	223	137	2838	0
2852	11	532	20	540	228	217	120	1233	0
3105	18	162	43	1112	200	203	136	162	0
3060	12	323	29	1198	201	218	155	247	0
2844	15	42	5	1448	195	210	152	2539	0
2808	17	85	21	1283	207	203	129	2937	0
2848	5	642	22	660	228	233	139	1320	0
2781	13	120	13	847	217	210	126	3034	0
3259	17	212	44	1842	236	205	96	2347	1
3071	7	176	17	2824	203	243	179	1716	0
2907	15	108	34	1620	244	224	106	2117	0
2739	11	552	82	591	224	215	124	854	0
2902	15	192	49	1677	189	216	166	2538	0
3271	17	350	158	1050	220	250	157	1895	1
3179	8	135	20	1221	211	224	150	624	0
3059	4	85	8	2781	221	231	148	1677	0
3180	6	217	-3	1434	225	227	136	418	0
3052	16	182	57	2477	174	234	200	1560	0
3063	16	218	68	2512	175	237	202	1590	0
2659	14	192	55	384	237	213	104	277	0
3051	11	268	13	1774	226	217	124	1194	0
2798	10	60	6	1026	202	223	159	2851	0
2983	8	607	-50	1528	196	238	181	1777	0
3048	8	335	15	1842	220	223	138	1301	0
3218	11	0	1	4402	240	228	117	2037	1
3083	9	360	82	2106	220	220	135	2731	0
3184	13	0	0	4070	197	218	158	1434	1
3522	14	882	307	2552	219	208	122	1693	1
3044	6	150	9	1983	206	232	164	1860	0
3089	3	210	14	2581	223	233	145	1869	0
3471	20	711	256	2363	237	198	83	1758	1
2999	8	543	-34	1633	198	240	181	1939	0
3102	9	365	49	2348	196	236	180	2188	0
3078	6	30	4	2410	202	239	175	2041	0
2691	7	0	0	1110	223	244	156	1738	0
2645	33	42	27	342	156	248	210	1463	0
2849	9	342	38	1599	213	221	144	3042	0
2797	5	85	9	1221	228	239	145	1224	0
2881	12	551	241	1077	203	251	183	1891	0
2899	17	564	89	1816	237	205	94	2819	0
3356	10	511	122	1771	221	218	131	2058	1
3217	8	212	6	1899	216	223	143	871	0
3122	16	421	16	2181	219	204	116	1548	0
2717	17	127	28	1315	226	202	105	1521	0
3231	10	510	127	1154	234	224	121	1913	1
3170	16	360	29	2253	195	210	151	1465	0
2713	8	42	3	1167	234	228	126	595	0
3642	18	900	230	2738	206	199	125	1282	1
3100	12	213	62	808	240	225	114	1637	1
2725	5	108	6	1213	229	237	142	700	0
2947	23	30	-2	408	231	186	75	1194	1
2852	14	424	233	516	244	227	108	926	0
3213	13	297	53	1213	240	221	109	1731	1
3242	14	240	-41	1377	240	216	104	1812	1
3515	22	800	230	2330	251	205	71	1358	1
3077	14	90	-20	2708	233	212	109	1994	0
2960	22	285	-37	467	249	200	68	949	1
